artist_raw,artist_canonical,track_count,monitor_priority,ignore,notes
Amphibian Man,Amphibian Man,107,high,false,
Lou Reed,Lou Reed,72,high,false,
The Rolling Stones,The Rolling Stones,61,high,false,
Angelo Badalamenti,Angelo Badalamenti,56,high,false,
The Wise Guyz,The Wise Guyz,55,high,false,
David Bowie,David Bowie,52,high,false,
The Stranglers,The Stranglers,52,high,false,
Bohren & Der Club Of Gore,Bohren & Der Club Of Gore,47,high,false,
Marianne Faithfull,Marianne Faithfull,45,high,false,
The Pretenders,The Pretenders,44,high,false,
Nick Cave & The Bad Seeds,Nick Cave & The Bad Seeds,39,high,false,
The April Family,The April Family,37,high,false,
The Meteors,The Meteors,37,high,false,
Leonard Cohen,Leonard Cohen,33,high,false,
Sanford Clark,Sanford Clark,33,high,false,
coma.fm,coma.fm,32,high,true,ignored service/empty artist value
Elvis Presley,Elvis Presley,31,high,false,
The Mystification,The Mystification,31,high,false,
Tom Waits,Tom Waits,31,high,false,
The Dead South,The Dead South,29,high,false,
Devil Doll,Devil Doll,28,high,false,
Johnny Cash,Johnny Cash,27,high,false,
Martin Cilia,Martin Cilia,27,high,false,
The Hillbilly Moon Explosion,The Hillbilly Moon Explosion,27,high,false,
The Troubled,The Troubled,27,high,false,
Zwyntar,Zwyntar,27,high,false,
Puddles Pity Party,Puddles Pity Party,26,high,false,
Coma.fm,Coma.fm,25,high,true,ignored service/empty artist value
Dandies,Dandies,25,high,false,
Freeky Cleen,Freeky Cleen,25,high,false,
Robyn Adele Anderson,Robyn Adele Anderson,25,high,false,
Scala & Kolacny Brothers,Scala & Kolacny Brothers,25,high,false,
The Paris Sisters,The Paris Sisters,25,high,false,
The Secret Sisters,The Secret Sisters,25,high,false,
The Ventures,The Ventures,25,high,false,
Your Inner God,Your Inner God,25,high,false,
Angelo Badalamenti & David Lynch,Angelo Badalamenti & David Lynch,24,high,false,
Komety,Komety,24,high,false,
La Perra Blanco,La Perra Blanco,24,high,false,
Melanie,Melanie,24,high,false,
Raygun Cowboys,Raygun Cowboys,24,high,false,
Number Nine,Number Nine,23,high,false,
Tony Joe White,Tony Joe White,23,high,false,
Ennio Morricone,Ennio Morricone,22,high,false,
Bones in the Walls,Bones in the Walls,21,high,false,
IVAN БлюZ І Dрузі,IVAN БлюZ І Dрузі,21,high,false,
The Hypnotunez,The Hypnotunez,21,high,false,
Cal Tjader's Modern Mambo Quintet,Cal Tjader's Modern Mambo Quintet,20,high,false,
Howard Rickard & The Pale Riders,Howard Rickard & The Pale Riders,20,high,false,
Petula Clark,Petula Clark,20,high,false,
Reese McHenry,Reese McHenry,20,high,false,
The Rutles,The Rutles,20,high,false,
Gutter Demons,Gutter Demons,19,medium,false,
The Delines,The Delines,19,medium,false,
The White Buffalo,The White Buffalo,19,medium,false,
Ukulena,Ukulena,19,medium,false,
Beth Lee,Beth Lee,18,medium,false,
Chelsea Wolfe,Chelsea Wolfe,18,medium,false,
Dale Watson,Dale Watson,18,medium,false,
Joan Baez,Joan Baez,18,medium,false,
Mad Heads,Mad Heads,18,medium,false,
Outer Space,Outer Space,18,medium,false,
Pink Floyd,Pink Floyd,18,medium,false,
Queen,Queen,18,medium,false,
Shovels & Rope,Shovels & Rope,18,medium,false,
Sweet Megg,Sweet Megg,18,medium,false,
Tami Neilson,Tami Neilson,18,medium,false,
Thee Scarecrows AKA,Thee Scarecrows AKA,18,medium,false,
Zombie Ghost Train,Zombie Ghost Train,18,medium,false,
Emily Scott Robinson,Emily Scott Robinson,17,medium,false,
Micah P. Hinson,Micah P. Hinson,17,medium,false,
Serge Gainsbourg,Serge Gainsbourg,17,medium,false,
The Desolate Coast,The Desolate Coast,17,medium,false,
The Velvet Underground,The Velvet Underground,17,medium,false,
Emma Ruth Rundle,Emma Ruth Rundle,16,medium,false,
Kalyn Fay,Kalyn Fay,16,medium,false,
Ray Charles,Ray Charles,16,medium,false,
RvB,RvB,16,medium,false,
Stereophonic Space Sound Unlimited,Stereophonic Space Sound Unlimited,16,medium,false,
The Creepshow,The Creepshow,16,medium,false,
The Pogues,The Pogues,16,medium,false,
Abigail Dowd,Abigail Dowd,15,medium,false,
Bob Marley & The Wailers,Bob Marley & The Wailers,15,medium,false,
Dillberriezz,Dillberriezz,15,medium,false,
Emanuela Hutter,Emanuela Hutter,15,medium,false,
Lee Moses,Lee Moses,15,medium,false,
Lenka Filipova,Lenka Filipova,15,medium,false,
Queen Esther,Queen Esther,15,medium,false,
Sandy Denny,Sandy Denny,15,medium,false,
The Twilighters,The Twilighters,15,medium,false,
Abbey Road Panpipe Ensemble,Abbey Road Panpipe Ensemble,14,medium,false,
Didi Wray,Didi Wray,14,medium,false,
Grant-Lee Phillips,Grant-Lee Phillips,14,medium,false,
Hot Dozzer,Hot Dozzer,14,medium,false,
Jobi Riccio,Jobi Riccio,14,medium,false,
Julee Cruise,Julee Cruise,14,medium,false,
Lauren O'Connell,Lauren O'Connell,14,medium,false,
Link Wray & His Ray Men,Link Wray & His Ray Men,14,medium,false,
Marissa Nadler,Marissa Nadler,14,medium,false,
Mr. Оч & His Root Boys,Mr. Оч & His Root Boys,14,medium,false,
Pokey LaFarge,Pokey LaFarge,14,medium,false,
R.E.M.,R.E.M.,14,medium,false,
Rhythm Sophie,Rhythm Sophie,14,medium,false,
Steep Canyon Rangers,Steep Canyon Rangers,14,medium,false,
The Cramps,The Cramps,14,medium,false,
The Quakes,The Quakes,14,medium,false,
Chrissie Hynde,Chrissie Hynde,13,medium,false,
Della Mae,Della Mae,13,medium,false,
Elton John,Elton John,13,medium,false,
Imelda May,Imelda May,13,medium,false,
Kate Bush,Kate Bush,13,medium,false,
King Kurt,King Kurt,13,medium,false,
Mackenzie Shivers,Mackenzie Shivers,13,medium,false,
Megan Lacy,Megan Lacy,13,medium,false,
Morgan Myles,Morgan Myles,13,medium,false,
Simon & Garfunkel,Simon & Garfunkel,13,medium,false,
The Carpenters,The Carpenters,13,medium,false,
The Duo-Tones,The Duo-Tones,13,medium,false,
The Surf Raiders,The Surf Raiders,13,medium,false,
Waikiki Makaki,Waikiki Makaki,13,medium,false,
Annie Lennox,Annie Lennox,12,medium,false,
Blondie,Blondie,12,medium,false,
Chuck Berry,Chuck Berry,12,medium,false,
Courtney Marie Andrews,Courtney Marie Andrews,12,medium,false,
Dick Dale,Dick Dale,12,medium,false,
Donovan,Donovan,12,medium,false,
Emily Nenni,Emily Nenni,12,medium,false,
Eva Cassidy,Eva Cassidy,12,medium,false,
Freddie Mercury,Freddie Mercury,12,medium,false,
India Ramey,India Ramey,12,medium,false,
Lonesome Spurs,Lonesome Spurs,12,medium,false,
Lubos Bena & Bonzo Radvanyi,Lubos Bena & Bonzo Radvanyi,12,medium,false,
Night Surf,Night Surf,12,medium,false,
Orville Peck,Orville Peck,12,medium,false,
Pest Control,Pest Control,12,medium,false,
Postmodern Jukebox,Postmodern Jukebox,12,medium,false,
Pérez Prado,Pérez Prado,12,medium,false,
Richard Cheese,Richard Cheese,12,medium,false,
Sinéad O'Connor,Sinéad O'Connor,12,medium,false,
Smokin A,Smokin A,12,medium,false,
Space Psycho Tropic Plank-Tone,Space Psycho Tropic Plank-Tone,12,medium,false,
Suzanne Jarvie,Suzanne Jarvie,12,medium,false,
The 69 Cats,The 69 Cats,12,medium,false,
The Beatles,The Beatles,12,medium,false,
The Tikiyaki Orchestra,The Tikiyaki Orchestra,12,medium,false,
Ane Brun,Ane Brun,11,medium,false,
Cat Stevens,Cat Stevens,11,medium,false,
Familia Perkalaba,Familia Perkalaba,11,medium,false,
Holly Cole,Holly Cole,11,medium,false,
Howlin' Wolf,Howlin' Wolf,11,medium,false,
Jack Costanzo,Jack Costanzo,11,medium,false,
John Cale,John Cale,11,medium,false,
John Lee Hooker,John Lee Hooker,11,medium,false,
Konstantin Kolesnichenko Quartet,Konstantin Kolesnichenko Quartet,11,medium,false,
Langhorns,Langhorns,11,medium,false,
Lightnin Hopkins,Lightnin Hopkins,11,medium,false,
The Lucky Devils,The Lucky Devils,11,medium,false,
The McCharmlys,The McCharmlys,11,medium,false,
The Vrooming Crew avec Dolores,The Vrooming Crew avec Dolores,11,medium,false,
Tomato Juice,Tomato Juice,11,medium,false,
Wynonie Harris,Wynonie Harris,11,medium,false,
РвБ,РвБ,11,medium,false,
Angela Tini,Angela Tini,10,medium,false,
Bella White,Bella White,10,medium,false,
Brown Horse,Brown Horse,10,medium,false,
Creedence Clearwater Revival,Creedence Clearwater Revival,10,medium,false,
David Lynch - Angelo Badalamenti,David Lynch - Angelo Badalamenti,10,medium,false,
Dominic Halpin,Dominic Halpin,10,medium,false,
Dusty Springfield,Dusty Springfield,10,medium,false,
Eric Clapton,Eric Clapton,10,medium,false,
Floyd Dixon,Floyd Dixon,10,medium,false,
Gene Vincent,Gene Vincent,10,medium,false,
Haley Reinhart,Haley Reinhart,10,medium,false,
Judy Collins,Judy Collins,10,medium,false,
Karl-Heinz Kastel,Karl-Heinz Kastel,10,medium,false,
Katie Pruitt,Katie Pruitt,10,medium,false,
Kiki Cavazos,Kiki Cavazos,10,medium,false,
Kris Angelis,Kris Angelis,10,medium,false,
Los Kabanos,Los Kabanos,10,medium,false,
Marlowe Dies,Marlowe Dies,10,medium,false,
Mick Beaulieu,Mick Beaulieu,10,medium,false,
Nick Cave And The Bad Seeds,Nick Cave And The Bad Seeds,10,medium,false,
Patti Smith,Patti Smith,10,medium,false,
Peggy Lee,Peggy Lee,10,medium,false,
Peter Isaacson,Peter Isaacson,10,medium,false,
Philip Doyle,Philip Doyle,10,medium,false,
Rae Spoon,Rae Spoon,10,medium,false,
Ryan Bingham & The Texas Gentlemen,Ryan Bingham & The Texas Gentlemen,10,medium,false,
Satan's Pilgrims,Satan's Pilgrims,10,medium,false,
Shocking Blue,Shocking Blue,10,medium,false,
Straytones,Straytones,10,medium,false,
The Andrew Oldham Orchestra,The Andrew Oldham Orchestra,10,medium,false,
The Blues Nephews,The Blues Nephews,10,medium,false,
The Jazztronauts,The Jazztronauts,10,medium,false,
The Jimi Hendrix Experience,The Jimi Hendrix Experience,10,medium,false,
The Long Tall Texans,The Long Tall Texans,10,medium,false,
The Puppini Sisters,The Puppini Sisters,10,medium,false,
Timber Timbre,Timber Timbre,10,medium,false,
Townes Van Zandt,Townes Van Zandt,10,medium,false,
Twin Temple,Twin Temple,10,medium,false,
Xavier Cugat & His Orchestra,Xavier Cugat & His Orchestra,10,medium,false,
Zukkor Zzov,Zukkor Zzov,10,medium,false,
Калич Блюз,Калич Блюз,10,medium,false,
American Aquarium,American Aquarium,9,medium,false,
Big Bad Voodoo Daddy,Big Bad Voodoo Daddy,9,medium,false,
Dolly Parton,Dolly Parton,9,medium,false,
Doyley & The Twanglords,Doyley & The Twanglords,9,medium,false,
Eurythmics,Eurythmics,9,medium,false,
Gal Holiday and the Honky Tonk Revue,Gal Holiday and the Honky Tonk Revue,9,medium,false,
Godless Wicked Creeps,Godless Wicked Creeps,9,medium,false,
Grateful Dead,Grateful Dead,9,medium,false,
Jerry Lee Lewis,Jerry Lee Lewis,9,medium,false,
Jimi Hendrix,Jimi Hendrix,9,medium,false,
Julie London,Julie London,9,medium,false,
Keenan McKenzie & the Riffers,Keenan McKenzie & the Riffers,9,medium,false,
Lee Rocker,Lee Rocker,9,medium,false,
Little Richard,Little Richard,9,medium,false,
Los Straitjackets,Los Straitjackets,9,medium,false,
Marc Ribot,Marc Ribot,9,medium,false,
Margo Price,Margo Price,9,medium,false,
Michaela Anne,Michaela Anne,9,medium,false,
Mick Ronson,Mick Ronson,9,medium,false,
Mike Sanchez and His Band & Imelda May,Mike Sanchez and His Band & Imelda May,9,medium,false,
Moon Mother,Moon Mother,9,medium,false,
Rachael Kilgour,Rachael Kilgour,9,medium,false,
Rebel Son,Rebel Son,9,medium,false,
Richie Havens,Richie Havens,9,medium,false,
Roller One,Roller One,9,medium,false,
Roy Orbison & The Royal Philharmonic Orchestra,Roy Orbison & The Royal Philharmonic Orchestra,9,medium,false,
Rude Jokes,Rude Jokes,9,medium,false,
Shakey Graves,Shakey Graves,9,medium,false,
Sonny Lester & His Orchestra,Sonny Lester & His Orchestra,9,medium,false,
Talking Heads,Talking Heads,9,medium,false,
The Flatfoot Shakers,The Flatfoot Shakers,9,medium,false,
The Grave Slaves,The Grave Slaves,9,medium,false,
The Root Boys,The Root Boys,9,medium,false,
The Stooges,The Stooges,9,medium,false,
16 Horsepower,16 Horsepower,8,medium,false,
Amanda Shires,Amanda Shires,8,medium,false,
