Title,Artist,Album,Duration,"Media Type"
"I Need You Tonight","Bonnie Raitt","Dig In Deep",00:03:19,track
"The Ones We Couldn't Be","Bonnie Raitt","Dig In Deep",00:04:14,track
Undone,"Bonnie Raitt","Dig In Deep",00:04:12,track
"I Fall To Pieces","Cyndi Lauper",Detour,00:03:00,track
"The End Of The World","Cyndi Lauper",Detour,00:03:12,track
"The Open Chord","Elton John","Wonderful Crazy Night (Deluxe)",00:04:04,track
"I Will Be There","Eric Clapton","I Still Do",00:04:37,track
Drive,"Lera Lynn",Resistor,00:04:11,track
"Scratch + Hiss","Lera Lynn",Resistor,00:04:56,track
"Don't Say A Thing","Mick Harvey","Delirium Tremens",00:03:03,track
"The Decadance","Mick Harvey","Delirium Tremens",00:05:33,track
"The Man With The Cabbage Head","Mick Harvey","Delirium Tremens",00:02:46,track
"Ghost Babe",Nekromantix,"A Symphony Of Wolf Tones & Ghost Notes",00:03:26,track
NekroTopia,Nekromantix,"A Symphony Of Wolf Tones & Ghost Notes",00:03:22,track
"We of Me","Suzanne Vega",Unknown,00:02:52,track
"Harper Lee","Suzanne Vega",Unknown,00:03:43,track
"The Ballad of Miss Amelia","Suzanne Vega",Unknown,00:04:18,track
"Baddest Girls In Town","The Devil's Daughters","The Devil's Daughters",00:03:31,track
"I'm Comin For You","The Devil's Daughters","The Devil's Daughters",00:02:27,track
"Just One Day","The Devil's Daughters","The Devil's Daughters",00:04:47,track
"Call Me","The Hillbilly Moon Explosion",Unknown,00:03:39,track
"Midnight Blues","The Hillbilly Moon Explosion","With Monsters and Gods",00:03:11,track
"Rose Outside","The Hillbilly Moon Explosion","With Monsters and Gods",00:04:08,track
Temptation,"The Hillbilly Moon Explosion","With Monsters and Gods",00:03:50,track
"With Monsters and Gods","The Hillbilly Moon Explosion","With Monsters and Gods",00:03:17,track
"Half an Hour",coma.fm,Unknown,00:00:09,track
"coma.fm liner",coma.fm,Unknown,00:00:17,track
"Больше кларнета, православные",Coma.fm,Unknown,00:00:11,track
"Великий электрик",Coma.fm,Unknown,00:00:12,track
Восьмидесятые,Coma.fm,Unknown,00:00:17,track
"Купил зеркалку - и фотограф",Coma.fm,Unknown,00:00:10,track
"Молоко за вредность",Coma.fm,Unknown,00:00:10,track
"Неловкое молчание",Coma.fm,Unknown,00:00:12,track
"Непреодолимое желание",Coma.fm,Unknown,00:00:15,track
"Ничего не хочется делать",Coma.fm,Unknown,00:00:16,track
"Приходит девочка",Coma.fm,Unknown,00:00:14,track
"Рок, Рок, Чок, Чок",Coma.fm,Unknown,00:00:18,track
"Унтер-офицерская вдова",Coma.fm,Unknown,00:00:10,track
Фантомас,Coma.fm,Unknown,00:00:20,track
"Школа Жизни",Coma.fm,Unknown,00:00:16,track
"Это наш сферический дом",Coma.fm,Unknown,00:00:10,track
"Это не Карл Маркс!",Coma.fm,Unknown,00:00:14,track
"Я ворую твои таблетки",Coma.fm,Unknown,00:00:35,track
Лолита,Coma.fm,Unknown,00:00:27,track
"Boom Boom",coma.fm,Unknown,00:00:13,track
"I want you",coma.fm,Unknown,00:00:23,track
"Daddy O",coma.fm,Unknown,00:00:18,track
"I`m your slave",coma.fm,Unknown,00:00:13,track
"Latest trick",coma.fm,Unknown,00:00:23,track
"Not alone",coma.fm,Unknown,00:00:21,track
Fuzz,coma.fm,Unknown,00:00:19,track
"Recover Program",coma.fm,Unknown,00:00:24,track
"Музыка народная, слова МВД",coma.fm,Unknown,00:00:31,track
Times,coma.fm,Unknown,00:00:21,track
Riff,coma.fm,Unknown,00:00:16,track
"These days",coma.fm,Unknown,00:00:21,track
"Surfin` Safari",coma.fm,Unknown,00:00:20,track
"Valentine`s day",coma.fm,Unknown,00:00:26,track
"We know who you are",coma.fm,Unknown,00:00:24,track
"Where are we now",coma.fm,Unknown,00:00:21,track
"Far More Blue","Dave Brubeck Quartet","Time Further Out",00:04:39,track
Sorrow,"The National",youtube.com/watch?v=RLhUZxQHUIE,00:03:22,track
